Age,playerid,PA,K%,ISO,wOBA,LD%,GB%,FB%,Soft%,Med%,Hard%,batter,Pos,height,weight,game_year
25,15640,678,30.7%,0.343,0.43,21.9%,34.9%,43.2%,11.2%,43.5%,45.3%,592450,RF,79,282,2017
33,4314,707,11.7%,0.258,0.428,23.0%,39.0%,38.0%,10.4%,53.3%,36.3%,458015,1B,74,220,2017
25,9929,37,32.4%,0.394,0.428,17.4%,39.1%,43.5%,8.7%,52.2%,39.1%,573131,1B,75,250,2012
30,6184,649,22.5%,0.299,0.427,22.6%,43.5%,34.0%,10.9%,44.2%,44.9%,502110,RF,75,220,2018
31,4314,695,19.4%,0.228,0.427,25.0%,42.2%,32.8%,9.5%,52.2%,38.4%,458015,1B,74,220,2015
27,3410,629,14.8%,0.265,0.426,20.9%,41.7%,37.4%,24.3%,39.1%,36.6%,460075,LF,74,205,2011
27,7799,15,40.0%,0.167,0.426,66.7%,33.3%,0.0%,50.0%,33.3%,16.7%,542994,LF,74,220,2013
36,745,383,13.3%,0.293,0.425,21.5%,36.7%,41.8%,12.3%,48.9%,38.8%,120074,1B,75,230,2012
34,7620,26,38.5%,0.292,0.425,28.6%,35.7%,35.7%,21.4%,28.6%,50.0%,448605,CF,73,210,2016
23,11442,229,24.9%,0.358,0.425,16.4%,49.3%,34.2%,18.5%,39.7%,41.8%,596142,C,74,230,2016
24,7995,8,12.5%,0.25,0.424,57.1%,28.6%,14.3%,28.6%,57.1%,14.3%,518545,CF,70,200,2011
25,4898,7,42.9%,0.429,0.424,25.0%,25.0%,50.0%,25.0%,0.0%,75.0%,471863,2B,71,205,2010
27,7485,4,0.0%,0.333,0.424,33.3%,33.3%,33.3%,0.0%,100.0%,0.0%,455088,2B,71,195,2013
21,10155,716,19.0%,0.234,0.423,23.0%,41.4%,35.6%,11.3%,50.8%,38.0%,545361,CF,74,235,2013
21,5514,69,24.6%,0.262,0.422,27.3%,38.6%,34.1%,22.7%,40.9%,36.4%,524968,C,75,235,2011
29,9399,61,32.8%,0.231,0.422,25.0%,37.5%,37.5%,9.4%,50.0%,40.6%,571757,LF,75,190,2017
26,11477,651,20.7%,0.272,0.422,24.7%,51.8%,23.5%,14.5%,37.9%,47.6%,592885,LF,75,195,2018
29,1887,683,17.0%,0.357,0.422,14.4%,31.1%,54.5%,19.5%,40.9%,39.6%,430832,RF,72,205,2010
21,13624,113,16.8%,0.224,0.421,20.3%,53.2%,26.6%,15.2%,38.0%,46.8%,608369,SS,76,215,2015
26,447,14,14.3%,0.154,0.421,18.2%,36.4%,45.5%,0.0%,81.8%,18.2%,444859,LF,73,200,2013
27,9272,673,29.6%,0.348,0.421,21.9%,32.4%,45.7%,12.2%,46.4%,41.3%,448801,1B,75,230,2013
28,4611,10,0.0%,0.4,0.42,20.0%,20.0%,60.0%,20.0%,40.0%,40.0%,445095,CF,73,205,2012
40,745,626,13.7%,0.305,0.419,22.1%,32.8%,45.1%,12.5%,41.7%,45.9%,120074,1B,75,230,2016
31,1935,435,15.4%,0.257,0.419,16.3%,37.0%,46.7%,16.0%,41.7%,42.3%,425903,3B,73,220,2010
30,1177,700,10.9%,0.284,0.419,17.2%,38.3%,44.5%,16.8%,40.8%,42.4%,405395,1B,75,235,2010
25,17678,690,12.0%,0.296,0.418,22.5%,31.5%,45.9%,14.8%,40.3%,44.9%,608324,3B,72,180,2019
24,6806,83,26.5%,0.224,0.418,24.1%,42.6%,33.3%,11.1%,46.3%,42.6%,500887,C,71,225,2013
24,10155,681,20.1%,0.235,0.418,22.1%,41.2%,36.7%,12.0%,46.3%,41.7%,545361,CF,74,235,2016
27,9218,695,21.7%,0.249,0.418,23.4%,41.6%,35.0%,10.2%,48.5%,41.4%,502671,1B,75,225,2015
38,2434,521,25.1%,0.328,0.417,20.2%,39.6%,40.2%,12.0%,35.6%,52.5%,443558,RF,74,230,2019
29,1744,697,14.1%,0.277,0.417,21.7%,42.3%,36.0%,6.2%,50.8%,43.0%,408234,1B,76,249,2012
24,16472,212,21.7%,0.359,0.417,23.8%,31.0%,45.2%,12.7%,41.3%,46.0%,656555,1B,76,225,2017
25,17932,37,29.7%,0.1,0.417,22.2%,50.0%,27.8%,21.1%,57.9%,21.1%,664057,LF,72,192,2019
25,13499,49,38.8%,0.386,0.417,24.0%,28.0%,48.0%,8.0%,44.0%,48.0%,608596,C,73,218,2016
34,242,631,17.4%,0.272,0.417,19.8%,35.1%,45.0%,15.5%,43.9%,40.5%,117244,1B,74,220,2010
23,3256,21,33.3%,0.35,0.417,7.7%,23.1%,69.2%,23.1%,38.5%,38.5%,456078,C,70,220,2010
24,11579,492,20.1%,0.276,0.416,22.0%,40.4%,37.6%,13.3%,52.5%,34.3%,547180,RF,75,220,2017
36,9549,186,23.7%,0.284,0.415,25.4%,44.1%,30.5%,10.2%,42.4%,47.5%,501896,3B,74,213,2019
23,15998,660,16.4%,0.324,0.415,26.2%,31.5%,42.4%,13.2%,37.6%,49.2%,641355,1B,76,203,2019
23,10155,682,23.2%,0.29,0.415,24.4%,37.2%,38.4%,11.6%,47.6%,40.8%,545361,CF,74,235,2015
30,7859,725,18.6%,0.27,0.414,22.3%,40.7%,37.0%,17.1%,43.9%,39.0%,453568,CF,75,220,2017
31,8879,19,26.3%,0.444,0.414,23.1%,38.5%,38.5%,7.7%,53.9%,38.5%,543432,C,76,240,2019
26,5452,18,27.8%,0.467,0.414,0.0%,63.6%,36.4%,0.0%,54.6%,45.5%,596847,1B,73,250,2017
35,1534,205,14.6%,0.247,0.414,24.2%,48.4%,27.3%,14.9%,54.7%,30.4%,150212,RF,74,220,2014
25,18316,56,37.5%,0.34,0.413,26.9%,46.2%,26.9%,11.5%,30.8%,57.7%,621458,1B,75,220,2019
32,1744,511,16.0%,0.196,0.413,25.2%,42.1%,32.7%,10.3%,49.6%,40.1%,408234,1B,76,249,2015
28,3410,677,18.9%,0.276,0.413,18.4%,43.6%,38.1%,12.2%,51.0%,36.8%,460075,LF,74,205,2012
32,4314,677,17.7%,0.225,0.413,27.3%,43.0%,29.7%,11.9%,49.3%,38.7%,458015,1B,74,220,2016
26,5631,689,23.1%,0.262,0.413,23.2%,36.3%,40.5%,16.2%,50.9%,32.9%,461314,CF,76,225,2011
24,7287,636,21.2%,0.262,0.413,20.8%,42.5%,36.6%,16.1%,40.1%,43.8%,471865,RF,73,220,2010
26,1159,21,14.3%,0,0.413,38.5%,38.5%,23.1%,13.3%,66.7%,20.0%,461865,SS,73,200,2012
29,12861,646,13.3%,0.279,0.413,21.2%,33.1%,45.7%,16.9%,38.5%,44.7%,543685,3B,73,200,2019
27,9847,648,17.7%,0.228,0.412,18.7%,39.9%,41.5%,11.9%,47.6%,40.6%,457705,CF,71,195,2014
35,393,641,6.6%,0.23,0.411,21.3%,40.6%,38.1%,10.1%,50.5%,39.4%,400121,C,74,235,2014
27,15676,622,21.1%,0.264,0.411,23.3%,45.5%,31.2%,17.0%,46.6%,36.4%,547989,1B,75,255,2014
25,13130,115,27.0%,0.324,0.411,23.3%,32.9%,43.8%,16.0%,44.0%,40.0%,543484,CF,73,216,2015
24,2530,98,21.4%,0.216,0.411,22.4%,41.8%,35.8%,19.4%,58.2%,22.4%,475174,1B,73,230,2011
23,14344,216,27.8%,0.392,0.411,15.9%,38.1%,46.0%,17.8%,41.9%,40.3%,621566,1B,77,230,2017
27,4949,692,23.6%,0.35,0.41,16.0%,44.6%,39.4%,20.8%,40.3%,38.9%,519317,RF,78,245,2017
27,4613,692,15.3%,0.267,0.41,19.8%,43.1%,37.1%,18.6%,47.3%,34.1%,425902,1B,71,275,2011
32,3255,189,28.6%,0.327,0.41,23.7%,40.7%,35.6%,16.1%,44.1%,39.8%,429711,CF,74,200,2015
26,17016,40,15.0%,0.194,0.409,10.0%,66.7%,23.3%,23.3%,50.0%,26.7%,628329,RF,69,195,2014
20,10155,639,21.8%,0.238,0.409,22.6%,44.4%,33.0%,14.3%,52.9%,32.8%,545361,CF,74,235,2012
31,4316,582,9.8%,0.249,0.408,21.8%,36.3%,41.9%,12.9%,49.0%,38.2%,502517,2B,73,221,2016
40,818,152,29.6%,0.344,0.408,21.8%,27.6%,50.6%,18.4%,40.2%,41.4%,114739,1B,75,240,2011
27,7287,436,27.1%,0.289,0.408,21.6%,37.9%,40.5%,17.8%,43.8%,38.4%,471865,RF,73,220,2013
35,548,587,15.8%,0.246,0.408,22.1%,38.7%,39.2%,22.8%,42.4%,34.8%,204020,1B,73,220,2011
21,5247,171,18.1%,0.287,0.407,16.9%,38.1%,44.9%,21.5%,47.9%,30.6%,543434,3B,72,210,2011
29,1908,715,16.6%,0.21,0.407,21.2%,46.7%,32.1%,18.4%,50.2%,31.4%,408236,1B,74,215,2011
27,13301,481,27.2%,0.319,0.407,20.8%,34.3%,44.9%,12.4%,40.2%,47.4%,571970,1B,72,218,2018
35,745,605,13.7%,0.246,0.407,21.4%,41.1%,37.5%,16.7%,44.7%,38.6%,120074,1B,75,230,2011
27,5361,514,18.5%,0.28,0.407,24.5%,34.9%,40.6%,12.4%,50.1%,37.5%,518692,1B,77,220,2017
25,17954,87,26.4%,0.377,0.407,18.5%,42.6%,38.9%,18.5%,44.4%,37.0%,656541,CF,77,238,2019
28,3441,69,20.3%,0.313,0.407,26.4%,43.4%,30.2%,26.4%,47.2%,26.4%,460099,LF,76,205,2012
25,3531,529,14.7%,0.253,0.406,15.0%,44.9%,40.1%,17.8%,42.0%,40.2%,453064,SS,75,205,2010
25,9166,610,15.7%,0.213,0.406,24.6%,46.5%,28.9%,10.8%,57.6%,31.6%,457763,C,73,210,2012
30,5486,38,21.1%,0.258,0.406,26.1%,43.5%,30.4%,26.1%,30.4%,43.5%,501659,CF,69,210,2019
25,9112,153,22.2%,0.316,0.406,20.4%,42.7%,36.9%,16.5%,38.8%,44.7%,501981,LF,71,203,2013
27,4314,719,17.9%,0.222,0.406,27.5%,39.1%,33.4%,14.5%,51.1%,34.5%,458015,1B,74,220,2011
22,4949,501,28.5%,0.318,0.405,22.1%,36.2%,41.7%,13.0%,42.7%,44.3%,519317,RF,78,245,2012
27,5417,662,12.7%,0.202,0.405,20.3%,47.0%,32.7%,19.0%,52.8%,28.2%,514888,2B,66,165,2017
25,13613,628,13.7%,0.264,0.405,22.2%,43.1%,34.8%,15.7%,42.3%,42.1%,606466,SS,73,165,2019
28,15161,359,24.2%,0.357,0.404,13.7%,38.9%,47.3%,18.1%,34.5%,47.4%,641598,C,73,220,2019
20,13510,14,14.3%,0.167,0.404,10.0%,50.0%,40.0%,20.0%,60.0%,20.0%,608070,3B,69,190,2013
31,9957,383,19.8%,0.263,0.404,19.4%,35.0%,45.6%,15.2%,50.2%,34.6%,456665,1B,71,200,2014
25,9218,710,20.4%,0.249,0.404,21.0%,44.4%,34.6%,9.3%,49.1%,41.6%,502671,1B,75,225,2013
29,2434,445,18.2%,0.258,0.404,18.0%,37.2%,44.9%,16.0%,46.2%,37.9%,443558,RF,74,230,2010
22,11400,8,12.5%,0.167,0.403,20.0%,40.0%,40.0%,66.7%,33.3%,0.0%,591720,2B,68,151,2015
24,4949,638,26.6%,0.267,0.403,19.7%,41.2%,39.1%,17.8%,41.8%,40.4%,519317,RF,78,245,2014
30,5038,700,17.0%,0.265,0.403,21.3%,38.2%,40.6%,16.4%,43.2%,40.4%,518626,3B,73,210,2016
25,9847,673,19.6%,0.226,0.403,21.9%,43.8%,34.3%,11.8%,51.1%,37.1%,457705,CF,71,195,2012
34,1327,532,19.0%,0.214,0.403,26.0%,36.1%,38.0%,14.2%,45.9%,39.9%,150029,RF,77,235,2013
22,10155,705,26.1%,0.274,0.402,18.9%,33.9%,47.2%,16.6%,45.1%,38.3%,545361,CF,74,235,2014
26,9218,479,23.0%,0.241,0.402,22.4%,44.8%,32.8%,10.0%,45.8%,44.2%,502671,1B,75,225,2014
28,4467,296,30.4%,0.306,0.402,21.5%,32.8%,45.8%,14.7%,48.6%,36.7%,461235,1B,73,210,2012
33,1887,673,14.3%,0.239,0.402,17.9%,40.4%,41.7%,16.8%,48.5%,34.7%,430832,RF,72,205,2014
29,2172,11,27.3%,0,0.402,25.0%,50.0%,25.0%,0.0%,62.5%,37.5%,430591,C,70,230,2012
26,5361,693,24.7%,0.267,0.402,29.1%,30.3%,40.5%,12.5%,44.0%,43.5%,518692,1B,77,220,2016
25,14128,297,38.4%,0.344,0.401,25.6%,27.2%,47.2%,13.2%,34.9%,51.9%,608336,LF,77,235,2019
29,12856,556,20.3%,0.299,0.4,19.7%,44.6%,35.7%,16.5%,38.4%,45.1%,543807,RF,75,215,2019
29,9218,665,22.1%,0.265,0.4,18.8%,46.3%,34.9%,11.3%,44.3%,44.3%,502671,1B,75,225,2017
35,4229,370,13.2%,0.228,0.4,18.7%,48.4%,32.9%,14.1%,40.3%,45.5%,435062,2B,71,220,2019
28,3531,512,16.6%,0.229,0.4,20.8%,41.5%,37.7%,15.9%,47.5%,36.6%,453064,SS,75,205,2013
29,4314,726,19.0%,0.186,0.4,27.2%,43.7%,29.2%,9.8%,52.6%,37.6%,458015,1B,74,220,2013
27,4727,732,13.4%,0.23,0.4,22.9%,43.0%,34.1%,24.0%,49.5%,26.5%,453056,CF,73,195,2011
37,745,600,14.7%,0.255,0.4,22.6%,38.7%,38.7%,9.4%,46.2%,44.4%,120074,1B,75,230,2013
29,9628,192,21.9%,0.196,0.4,29.4%,35.7%,34.9%,18.1%,50.4%,31.5%,502374,C,70,205,2014
32,5235,543,10.3%,0.208,0.4,20.8%,31.4%,47.8%,9.8%,51.3%,38.9%,457759,3B,71,202,2017
27,3371,171,19.9%,0.191,0.399,19.8%,49.1%,31.0%,18.5%,56.3%,25.2%,457477,CF,72,195,2011
25,15429,665,19.2%,0.242,0.399,19.9%,37.7%,42.4%,14.8%,52.5%,32.8%,592178,3B,77,230,2017
25,9542,5,0.0%,0.25,0.399,25.0%,25.0%,50.0%,50.0%,50.0%,0.0%,502182,C,70,210,2011
25,10762,478,21.1%,0.255,0.399,26.7%,36.8%,36.5%,16.8%,46.3%,36.9%,572816,LF,73,210,2014
25,5408,92,26.1%,0.163,0.399,25.8%,40.3%,33.9%,12.9%,50.0%,37.1%,519295,CF,71,210,2014
33,1744,679,17.1%,0.247,0.399,22.7%,41.7%,35.5%,9.7%,49.2%,41.1%,408234,1B,76,249,2016
35,13047,26,19.2%,0.095,0.398,26.7%,40.0%,33.3%,18.8%,68.8%,12.5%,493128,2B,71,175,2016
20,19709,372,29.6%,0.272,0.398,22.4%,46.6%,30.9%,21.2%,37.0%,41.9%,665487,SS,75,185,2019
24,16442,170,26.5%,0.336,0.398,19.2%,34.6%,46.2%,12.5%,45.2%,42.3%,656811,1B,75,200,2018
28,4613,690,12.2%,0.215,0.398,25.4%,41.3%,33.3%,12.3%,52.4%,35.3%,425902,1B,71,275,2012
22,10199,22,18.2%,0.105,0.398,35.7%,50.0%,14.3%,18.8%,68.8%,12.5%,571740,CF,72,160,2013
29,2967,530,22.1%,0.214,0.398,22.2%,51.7%,26.1%,15.4%,49.1%,35.5%,502054,LF,73,215,2017
22,14225,432,22.5%,0.215,0.398,19.1%,50.2%,30.7%,13.9%,48.6%,37.5%,624577,RF,74,240,2013
27,4365,246,28.9%,0.226,0.398,20.3%,35.0%,44.8%,19.6%,42.7%,37.8%,475100,LF,76,215,2014
33,2579,421,11.9%,0.215,0.398,24.0%,43.4%,32.6%,15.3%,50.3%,34.4%,434563,C,70,215,2012
28,12119,13,23.1%,0.273,0.398,37.5%,12.5%,50.0%,25.0%,50.0%,25.0%,605474,1B,76,220,2018
29,5038,711,18.7%,0.271,0.398,17.3%,44.8%,37.9%,14.4%,48.3%,37.3%,518626,3B,73,210,2015
30,1873,675,13.8%,0.22,0.397,17.0%,42.0%,41.0%,17.0%,45.4%,37.6%,407812,LF,76,240,2010
34,2218,201,21.9%,0.243,0.397,21.5%,43.8%,34.6%,13.9%,46.2%,40.0%,430605,LF,72,185,2015
24,3473,616,18.8%,0.24,0.397,22.1%,36.1%,41.8%,15.8%,52.7%,31.6%,519203,1B,75,240,2014
26,9741,66,28.8%,0.254,0.397,25.0%,43.2%,31.8%,11.4%,45.5%,43.2%,572019,1B,76,210,2014
24,13510,645,10.7%,0.265,0.396,21.4%,38.9%,39.7%,16.7%,49.3%,34.0%,608070,3B,69,190,2017
31,5038,496,22.4%,0.289,0.396,16.7%,41.0%,42.3%,17.3%,46.4%,36.3%,518626,3B,73,210,2017
24,15429,699,22.0%,0.262,0.396,23.7%,30.5%,45.8%,17.0%,42.7%,40.3%,592178,3B,77,230,2016
24,7937,5,20.0%,0,0.396,50.0%,0.0%,50.0%,33.3%,66.7%,0.0%,502582,CF,73,200,2011
24,7937,5,20.0%,0,0.396,50.0%,0.0%,50.0%,33.3%,66.7%,0.0%,502582,LF,73,200,2011
24,2539,82,23.2%,0.236,0.396,30.9%,41.8%,27.3%,16.1%,57.1%,26.8%,518902,SS,72,190,2012
34,1534,540,18.5%,0.198,0.396,20.2%,49.7%,30.1%,13.8%,55.9%,30.4%,150212,RF,74,220,2013
34,2434,655,25.0%,0.264,0.396,20.4%,45.7%,34.0%,15.9%,48.5%,35.6%,443558,RF,74,230,2015
29,2151,644,14.6%,0.277,0.396,17.6%,33.0%,49.5%,13.9%,49.9%,36.3%,429665,1B,73,230,2012
33,5235,426,12.7%,0.205,0.396,26.2%,29.4%,44.4%,10.9%,44.1%,45.1%,457759,3B,71,202,2018
31,1327,652,22.5%,0.236,0.396,17.5%,37.0%,45.4%,15.9%,43.5%,40.6%,150029,RF,77,235,2010
26,4418,197,12.7%,0.24,0.396,16.4%,29.5%,54.1%,14.4%,45.2%,40.4%,476704,SS,72,180,2010
24,17678,705,12.1%,0.246,0.396,21.9%,34.6%,43.4%,17.2%,47.5%,35.4%,608324,3B,72,180,2018
26,9777,680,15.6%,0.277,0.395,21.1%,34.0%,44.9%,17.6%,45.8%,36.7%,571448,3B,74,215,2017
23,16252,324,18.2%,0.225,0.395,25.2%,43.1%,31.7%,17.2%,48.0%,34.8%,607208,SS,74,185,2016
29,8609,14,28.6%,0.462,0.395,22.2%,44.4%,33.3%,22.2%,33.3%,44.4%,543148,C,70,215,2017
